Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007
"295101243004","15000US295101243004","Block Group 4, Census Tract 1243, St. Louis city, Missouri","Block Group 4, Census Tract 1243, St. Louis city, Missouri","mo","150","00","ACSSF","0010186",,,,,"29","510",,,,"124300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,337,0,337,291,46,83
"295101246001","15000US295101246001","Block Group 1, Census Tract 1246, St. Louis city, Missouri","Block Group 1, Census Tract 1246, St. Louis city, Missouri","mo","150","00","ACSSF","0010187",,,,,"29","510",,,,"124600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,355,0,355,300,55,212
"295101246002","15000US295101246002","Block Group 2, Census Tract 1246, St. Louis city, Missouri","Block Group 2, Census Tract 1246, St. Louis city, Missouri","mo","150","00","ACSSF","0010188",,,,,"29","510",,,,"124600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,379,0,379,261,118,321
"295101255001","15000US295101255001","Block Group 1, Census Tract 1255, St. Louis city, Missouri","Block Group 1, Census Tract 1255, St. Louis city, Missouri","mo","150","00","ACSSF","0010189",,,,,"29","510",,,,"125500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1230,33,1197,1155,42,235
"295101255002","15000US295101255002","Block Group 2, Census Tract 1255, St. Louis city, Missouri","Block Group 2, Census Tract 1255, St. Louis city, Missouri","mo","150","00","ACSSF","0010190",,,,,"29","510",,,,"125500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763,577,0,577,560,17,186
"295101255003","15000US295101255003","Block Group 3, Census Tract 1255, St. Louis city, Missouri","Block Group 3, Census Tract 1255, St. Louis city, Missouri","mo","150","00","ACSSF","0010191",,,,,"29","510",,,,"125500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619,587,0,587,575,12,32
"295101256001","15000US295101256001","Block Group 1, Census Tract 1256, St. Louis city, Missouri","Block Group 1, Census Tract 1256, St. Louis city, Missouri","mo","150","00","ACSSF","0010192",,,,,"29","510",,,,"125600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,734,34,700,665,35,180
"295101256002","15000US295101256002","Block Group 2, Census Tract 1256, St. Louis city, Missouri","Block Group 2, Census Tract 1256, St. Louis city, Missouri","mo","150","00","ACSSF","0010193",,,,,"29","510",,,,"125600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,796,0,796,769,27,110
"295101256003","15000US295101256003","Block Group 3, Census Tract 1256, St. Louis city, Missouri","Block Group 3, Census Tract 1256, St. Louis city, Missouri","mo","150","00","ACSSF","0010194",,,,,"29","510",,,,"125600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397,1616,67,1549,1401,148,781
"295101257001","15000US295101257001","Block Group 1, Census Tract 1257, St. Louis city, Missouri","Block Group 1, Census Tract 1257, St. Louis city, Missouri","mo","150","00","ACSSF","0010195",,,,,"29","510",,,,"125700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361,802,0,802,598,204,559
